customer_id,rank,product_id,product_name,category,price,confidence_score,recommendation_type,customer_segment,journey_stage,explanation
CUST_00001,1,PROD_00370,Elite Wireless Speaker,Electronics,789.23,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00001,2,PROD_00181,Premium Water Bottle,Sports,421.24,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00001,3,PROD_00209,Elite Headphones,Electronics,633.82,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00002,1,PROD_00370,Elite Wireless Speaker,Electronics,789.23,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00002,2,PROD_00181,Premium Water Bottle,Sports,421.24,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00002,3,PROD_00209,Elite Headphones,Electronics,633.82,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00003,1,PROD_00370,Elite Wireless Speaker,Electronics,789.23,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00003,2,PROD_00181,Premium Water Bottle,Sports,421.24,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00003,3,PROD_00209,Elite Headphones,Electronics,633.82,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00004,1,PROD_00370,Elite Wireless Speaker,Electronics,789.23,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00004,2,PROD_00181,Premium Water Bottle,Sports,421.24,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00004,3,PROD_00209,Elite Headphones,Electronics,633.82,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00005,1,PROD_00370,Elite Wireless Speaker,Electronics,789.23,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00005,2,PROD_00181,Premium Water Bottle,Sports,421.24,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00005,3,PROD_00209,Elite Headphones,Electronics,633.82,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00006,1,PROD_00370,Elite Wireless Speaker,Electronics,789.23,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00006,2,PROD_00181,Premium Water Bottle,Sports,421.24,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00006,3,PROD_00209,Elite Headphones,Electronics,633.82,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00007,1,PROD_00370,Elite Wireless Speaker,Electronics,789.23,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00007,2,PROD_00181,Premium Water Bottle,Sports,421.24,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00007,3,PROD_00209,Elite Headphones,Electronics,633.82,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00008,1,PROD_00370,Elite Wireless Speaker,Electronics,789.23,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00008,2,PROD_00181,Premium Water Bottle,Sports,421.24,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00008,3,PROD_00209,Elite Headphones,Electronics,633.82,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00009,1,PROD_00370,Elite Wireless Speaker,Electronics,789.23,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00009,2,PROD_00181,Premium Water Bottle,Sports,421.24,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00009,3,PROD_00209,Elite Headphones,Electronics,633.82,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00010,1,PROD_00370,Elite Wireless Speaker,Electronics,789.23,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00010,2,PROD_00181,Premium Water Bottle,Sports,421.24,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00010,3,PROD_00209,Elite Headphones,Electronics,633.82,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00011,1,PROD_00370,Elite Wireless Speaker,Electronics,789.23,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00011,2,PROD_00181,Premium Water Bottle,Sports,421.24,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
CUST_00011,3,PROD_00209,Elite Headphones,Electronics,633.82,0.6,popular,unknown,unknown,Popular choice • Frequently purchased
